DoP,Word
0.010165184243964422,each_other
0.009647541311444144,people
0.008499189308096766,community
0.007168547000132296,relationship
0.007078555583928918,family
0.006437847466857006,way
0.005082592121982211,fact
0.004561872559848136,life
0.004477265245468894,workplace
0.004081918340096791,health
0.003961929785158955,example
0.003931932646424495,aspect
0.0038719383689555767,connection
0.0038719383689555767,value
0.0038119440914866584,animal
0.0038119440914866584,help
0.0033266057699111776,impact
0.003296608631176718,friend
0.003296608631176718,inequality
0.0032666114924422597,neighbor
0.0032366143537078,order
0.0032066172149733414,zoom
0.0032066172149733414,end
0.0032066172149733414,past
0.002691281754663401,behavior
-0.0036319612590799033,lack
-0.0036319612590799033,access
-0.0036319612590799033,suspicion
-0.0037873310545763327,society
-0.004177293858124301,institution
-0.004207290996858761,loss
-0.00423728813559322,case
-0.00423728813559322,parent
-0.00423728813559322,mask
-0.004782620734637619,isolation
-0.004842615012106538,mental_health
-0.004842615012106538,state
-0.0053279533336820185,child
-0.005417944749885395,don
-0.005417944749885395,concern
-0.005447941888619854,anxiety
-0.005633308822850744,group
-0.005873285932726418,consequence
-0.006023271626398713,job
-0.0072339253794253475,student
-0.007839252255938664,resource
-0.007869249394673124,trust
-0.00844457913245198,government
-0.00844457913245198,fear
-0.010895883777239709,school
